account,tokens,share_pct,sol_distribution
ERv2Px1HMLzGK5AigC9enSSYkYnFFeYvKgeSY96Vuk3m,26780879.657591444,18.640569,4.656224308
EEppJZVdK8iBmnHoKnhWMfNuHFUJrXS1ddGN5UbMM5mV,18401586.40175033,12.808244,3.199368916
HJXa57WZozLegR8rvUbHAZK1LPUqjMyjvkdoHfXE8dNH,14216679.674867172,9.895381,2.471765316
Gr8n4PpCXqMxPQ2AC4kArh7ivxM1sWeAz8vVanBVXMrm,12425453.37346346,8.648615,2.160335985
6MZK7gkkA5JBaYsBfc8jv5XeoBJYDzYKBSXfr3GTQQkH,11211312.685295014,7.803524,1.949240925
6Z5CUGrVNnMqbRR43dS4y2qgqbUgfvoKyh6ZrideJVRL,11203780.147641731,7.798281,1.94793129
9nsgdXLN1Hyog4FhiwBH89zETzXu98PukMFJftfi46wH,8597233.703917883,5.98402,1.494747337
ECaPx65TXXwFHUZdfmKU1wVGU6YptNwuT2j3uuF8MxtR,8282852.823283805,5.765199,1.440087897
A8BwYZBnfvKGG3BZgRv7frxd18WQ5mJCKuTZGC7v5gAs,5036928.566135611,3.505905,0.875739316
UxDh5iCXxKKfdKeeXptm7PN7YmHb1r53H4fi9WzhFbT,3467645.634697636,2.413621,0.602897892
WXquQPTcEjjysE99cHQL5zpwxJNxgdrj9gYdsWZAmPw,2477523.797151989,1.724456,0.430751591
2vXFARFP5MXn65rDrUMmzhHGcLzUkAqjFSbTyBAFMpGi,2460518.369597678,1.71262,0.427794964
57Wb9oirTZ6frDky2Tmy7DA5UUa724MsmudrUriCSsiH,2167761.168731515,1.508849,0.376895097
Dvv9zZrMnJLvKFNb7NtqSwRVsweQQL2RFTA3cbgavPkG,1983653.544797717,1.380703,0.344885455
6B7JWaumobHVrMkhfEsXgdQMQjDna5Yo5SE1S5Dn9tv2,1914927.703398283,1.332867,0.332936522
4q6Nk3evBpHFucCCSDdjTjRtZHDemD7oh4Ho5fhSfAGn,1246171.760820624,0.867386,0.216664102
2J9pc4rduwKZh9sJPVLzL6cGNsqhb7PdLfHMNWZLVr7M,1114974.44523563,0.776067,0.193853644
9CPqeqJp27ae1BioxmExZxU7DW19kB7s5cbDP4W2F66D,1111636.230241981,0.773744,0.19327325
3R8ApBzJWU4fV5pJyFgZvd8RSvwHYHMMqGq6KmrWCEqP,1032854.439207864,0.718908,0.179575951
3B1tAYo9ScKWYjdDGutuEzd1REDHy79Q8Z4NWKVV5RfV,990922.943986709,0.689722,0.172285584
HBvEyWbDYLEdQckT5YxzFRHqPs2Ze4YsDjbW6dReZ69m,970391.635351053,0.675432,0.168715934
FkjwuEZu9Fr3YfB55aGLwmhYRxrAdjZa355yhWzXU9JG,663753.274089975,0.461999,0.115402637
7cQhv7pCgzmz1Kaz5dCas64nB3FiEAFjaej4HqGeuHnB,619177.533271362,0.430972,0.107652531
dc3cGgzv7mze8bxjMua1kdnELUY8KVAFem3PrPHAX5C,505837.203419928,0.352083,0.087946756
8uQoaSEZMbbZXzvmHasU9E3n4nUpYiBkKFxPYzqRMhYK,495744.703581773,0.345058,0.086192036
Grsme69vd1zf72mhV3vm1QDsUtxxM4AyTCZCzfkzqWJm,495613.248133418,0.344967,0.086169181
7MuddGTqPRss6zB61qGcvueC6nwJkKWEqMuNEhDLbE8d,492793.705194341,0.343004,0.085678964
6mVRSQzyZkotjXoXCJ4GHXPsfWpeqgzpK8avFWZoZ1o9,461704.809767654,0.321365,0.080273732
2hZT47jh3nPzVZVdUv3pyYNpLwdywRTvqv2mVmbqZJXz,382868.04541064,0.266492,0.066566876
E2QDeUhSD4FohhRAXSsDGq6Zp1sejNGNWhCHpPorZww6,352973.534718525,0.245684,0.061369304
FhVo3mqL8PW5pH5U2CN4XE33DokiyZnUwuGpH2hmHLuM,340001.111689485,0.236654,0.05911387
QGTPcdcSBHFcpB1ytsbK37TfrZ1Fm4Gv55bRZZpj5W7,288695.198422906,0.200943,0.050193631
HFqp6ErWHY6Uzhj8rFyjYuDya2mXUpYEk8VW75K9PSiY,185516.025886844,0.129127,0.032254513
F9snByw4nsCWZ1AdH6VqLYXwXYRkGqBqLfK87wAneCs3,180550.092627497,0.12567,0.031391117
8psNvWTrdNTiVRNzAgsou9kETXNJm2SXZyaKuJraVRtf,173263.846112094,0.120599,0.030124303
AGp14Cs2HiXiuNSw2QjFk1ZPW2idJpsZPcTnWFQ7sqnk,168709.776373642,0.117429,0.029332515
5vQNgK4opVAYV7hojNSfNWRYMGscwLdy64BYxRn8UZCC,151461.738727011,0.105423,0.026333707
AmrtT9vD5QuF5C7TRkmgmYCksTRxFyLXf511yC5Xzytz,147176.502817877,0.102441,0.025588659
DSN3j1ykL3obAVNv7ZX49VsFCPe4LqzxHnmtLiPwY6xg,109924.82995407,0.076512,0.019111944
3LoAYHuSd7Gh8d7RTFnhvYtiTiefdZ5ByamU42vkzd76,73844.866380682,0.051399,0.012838946
2vB2DPsD5ESoNwMdpEn2XZqJBD4ScM8RHqY826PTRd7c,70138.902779717,0.048819,0.012194613
2fochSnGYZhSG5G1Tgx8uPX611pHTzXEKAJwPySfkweu,56530.368072755,0.039347,0.009828582
69yhtoJR4JYPPABZcSNkzuqbaFbwHsCkja1sP1Q2aVT5,33917.80348546,0.023608,0.005897077
2EtfGYZU9e9Bq7K6DNxSbxPbh3ZzEjvutNEasu4ENshQ,28419.064860795,0.019781,0.004941045
GP8StUXNYSZjPikyRsvkTbvRV1GBxMErb59cpeCJnDf1,27594.832344405,0.019207,0.004797741
C62fiUFZ84NoAxBeyfNCgem7owMGmfFLnyHF12Zxt7rS,17769.270435948,0.012368,0.003089432
