#,Address,SOL Amount,Transaction Hash,Status
1,ERv2Px1HMLzGK5AigC9enSSYkYnFFeYvKgeSY96Vuk3m,4.656224308,,Pending
2,EEppJZVdK8iBmnHoKnhWMfNuHFUJrXS1ddGN5UbMM5mV,3.199368916,,Pending
3,HJXa57WZozLegR8rvUbHAZK1LPUqjMyjvkdoHfXE8dNH,2.471765316,,Pending
4,Gr8n4PpCXqMxPQ2AC4kArh7ivxM1sWeAz8vVanBVXMrm,2.160335985,,Pending
5,6MZK7gkkA5JBaYsBfc8jv5XeoBJYDzYKBSXfr3GTQQkH,1.949240925,,Pending
6,6Z5CUGrVNnMqbRR43dS4y2qgqbUgfvoKyh6ZrideJVRL,1.94793129,,Pending
7,9nsgdXLN1Hyog4FhiwBH89zETzXu98PukMFJftfi46wH,1.494747337,,Pending
8,ECaPx65TXXwFHUZdfmKU1wVGU6YptNwuT2j3uuF8MxtR,1.440087897,,Pending
9,A8BwYZBnfvKGG3BZgRv7frxd18WQ5mJCKuTZGC7v5gAs,0.875739316,,Pending
10,UxDh5iCXxKKfdKeeXptm7PN7YmHb1r53H4fi9WzhFbT,0.602897892,,Pending
11,WXquQPTcEjjysE99cHQL5zpwxJNxgdrj9gYdsWZAmPw,0.430751591,,Pending
12,2vXFARFP5MXn65rDrUMmzhHGcLzUkAqjFSbTyBAFMpGi,0.427794964,,Pending
13,57Wb9oirTZ6frDky2Tmy7DA5UUa724MsmudrUriCSsiH,0.376895097,,Pending
14,Dvv9zZrMnJLvKFNb7NtqSwRVsweQQL2RFTA3cbgavPkG,0.344885455,,Pending
15,6B7JWaumobHVrMkhfEsXgdQMQjDna5Yo5SE1S5Dn9tv2,0.332936522,,Pending
16,4q6Nk3evBpHFucCCSDdjTjRtZHDemD7oh4Ho5fhSfAGn,0.216664102,,Pending
17,2J9pc4rduwKZh9sJPVLzL6cGNsqhb7PdLfHMNWZLVr7M,0.193853644,,Pending
18,9CPqeqJp27ae1BioxmExZxU7DW19kB7s5cbDP4W2F66D,0.19327325,,Pending
19,3R8ApBzJWU4fV5pJyFgZvd8RSvwHYHMMqGq6KmrWCEqP,0.179575951,,Pending
20,3B1tAYo9ScKWYjdDGutuEzd1REDHy79Q8Z4NWKVV5RfV,0.172285584,,Pending
21,HBvEyWbDYLEdQckT5YxzFRHqPs2Ze4YsDjbW6dReZ69m,0.168715934,,Pending
22,FkjwuEZu9Fr3YfB55aGLwmhYRxrAdjZa355yhWzXU9JG,0.115402637,,Pending
23,7cQhv7pCgzmz1Kaz5dCas64nB3FiEAFjaej4HqGeuHnB,0.107652531,,Pending
24,dc3cGgzv7mze8bxjMua1kdnELUY8KVAFem3PrPHAX5C,0.087946756,,Pending
25,8uQoaSEZMbbZXzvmHasU9E3n4nUpYiBkKFxPYzqRMhYK,0.086192036,,Pending
26,Grsme69vd1zf72mhV3vm1QDsUtxxM4AyTCZCzfkzqWJm,0.086169181,,Pending
27,7MuddGTqPRss6zB61qGcvueC6nwJkKWEqMuNEhDLbE8d,0.085678964,,Pending
28,6mVRSQzyZkotjXoXCJ4GHXPsfWpeqgzpK8avFWZoZ1o9,0.080273732,,Pending
29,2hZT47jh3nPzVZVdUv3pyYNpLwdywRTvqv2mVmbqZJXz,0.066566876,,Pending
30,E2QDeUhSD4FohhRAXSsDGq6Zp1sejNGNWhCHpPorZww6,0.061369304,,Pending
31,FhVo3mqL8PW5pH5U2CN4XE33DokiyZnUwuGpH2hmHLuM,0.05911387,,Pending
32,QGTPcdcSBHFcpB1ytsbK37TfrZ1Fm4Gv55bRZZpj5W7,0.050193631,,Pending
33,HFqp6ErWHY6Uzhj8rFyjYuDya2mXUpYEk8VW75K9PSiY,0.032254513,,Pending
34,F9snByw4nsCWZ1AdH6VqLYXwXYRkGqBqLfK87wAneCs3,0.031391117,,Pending
35,8psNvWTrdNTiVRNzAgsou9kETXNJm2SXZyaKuJraVRtf,0.030124303,,Pending
36,AGp14Cs2HiXiuNSw2QjFk1ZPW2idJpsZPcTnWFQ7sqnk,0.029332515,,Pending
37,5vQNgK4opVAYV7hojNSfNWRYMGscwLdy64BYxRn8UZCC,0.026333707,,Pending
38,AmrtT9vD5QuF5C7TRkmgmYCksTRxFyLXf511yC5Xzytz,0.025588659,,Pending
39,DSN3j1ykL3obAVNv7ZX49VsFCPe4LqzxHnmtLiPwY6xg,0.019111944,,Pending
40,3LoAYHuSd7Gh8d7RTFnhvYtiTiefdZ5ByamU42vkzd76,0.012838946,,Pending
41,2vB2DPsD5ESoNwMdpEn2XZqJBD4ScM8RHqY826PTRd7c,0.012194613,,Pending
42,2fochSnGYZhSG5G1Tgx8uPX611pHTzXEKAJwPySfkweu,0.009828582,,Pending
43,69yhtoJR4JYPPABZcSNkzuqbaFbwHsCkja1sP1Q2aVT5,0.005897077,,Pending
44,2EtfGYZU9e9Bq7K6DNxSbxPbh3ZzEjvutNEasu4ENshQ,0.004941045,,Pending
45,GP8StUXNYSZjPikyRsvkTbvRV1GBxMErb59cpeCJnDf1,0.004797741,,Pending
46,C62fiUFZ84NoAxBeyfNCgem7owMGmfFLnyHF12Zxt7rS,0.003089432,,Pending
47,3CgvbiM3op4vjrrjH2zcrQUwsqh5veNVRjFCB9N6sRoD,0.002395444,,Pending
48,9FctyMNzWXZFrqdMK9KkT1xZYb6k4cJ7GFQnto6LPmH8,0.00219873,,Pending
49,2fdRJpym179CknEDMEPzyLymh65LX1u13b5r19FidQqY,0.001977842,,Pending
50,3Mvt5X2zNukVLnRcbFm4sSZkXWQsTU1TkymkauZk7Jru,0.000892461,,Pending
51,D9GYt4W7VvteKCSvTgyjzuiBJyTy94Kmr6YiC9fbxGjW,0.000615376,,Pending
52,HU23r7UoZbqTUuh3vA7emAGztFtqwTeVips789vqxxBw,0.000435637,,Pending
53,54Pz1e35z9uoFdnxtzjp7xZQoFiofqhdayQWBMN7dsuy,0.000101425,,Pending
54,q2ctpRP1aExL4UkG3gnM3r4JSfkKqChbCMg4tYgoizU,9.7257e-05,,Pending
55,EZsG7uXASYhVKL7hwdamfhQoPKxNg7V1RuQVEgckAEVX,1.1682e-05,,Pending
56,5xmtuFEcSArg5Kc5f9M2mUvDZce43XKAN6K3Dyc4LBc1,8.63e-07,,Pending
57,Bt3EcqrkAGoSpAgHzn1MxRrkuvh5aQ1c7RzF9brgShME,4e-08,,Pending
58,BM9CcyErJcu2mjrFvUsRRrD3snGeHDDVirJLvL6EjvMN,1e-08,,Pending
