#,Address,SOL Amount,Transaction Hash,Status
1,ERv2Px1HMLzGK5AigC9enSSYkYnFFeYvKgeSY96Vuk3m,4.656224308,4iMCKLjuHNYY5YSqWQUga8bPM1vMdCLrx9dBuJ28uoEi3umKymuvrDwBtAtcEpWX1X1X6Q2YBinvUcy5zHkDEjuu,Done
2,EEppJZVdK8iBmnHoKnhWMfNuHFUJrXS1ddGN5UbMM5mV,3.199368916,5tf95iMvmrKPAhtqnnnNSx7E2AVwbvckMuFsJwmvQ3in4aEqSodDKPG8xz8QbdWE3Fx6aGFtUGsLD692sNuXGbrq,Done
3,HJXa57WZozLegR8rvUbHAZK1LPUqjMyjvkdoHfXE8dNH,2.471765316,2JXzndXRMcmGxKVQM1wyspjYrT8Q7ZvBnNToog8gGJbNi5XYqm6vP7wUyiwQnqHmwXsyeHZzr7zUqLruaGcd4RDS,Done
4,Gr8n4PpCXqMxPQ2AC4kArh7ivxM1sWeAz8vVanBVXMrm,2.160335985,5yducyft7tpVXnXFDoF8cwSVvu5EUEmdqasJr3eRqsU5RPE4NQChu6TSiX9AUQnB73265J6hKzX7bdDRPSV7WGZA,Done
5,6MZK7gkkA5JBaYsBfc8jv5XeoBJYDzYKBSXfr3GTQQkH,1.949240925,28NB9NqZz76wQfvk57xUoYG33MsoWh1YnCfW7eXyh2ujNiPrYigBENzs7svP4rZJULB56kFVzLv1iEUjGrrHTjS6,Done
6,6Z5CUGrVNnMqbRR43dS4y2qgqbUgfvoKyh6ZrideJVRL,1.94793129,2EQCf7uAC9mowBzzCMmedYZyfdwYRDngrRPRbaVahP2buGzL5QvXmwJAAWVcdrVtHjJCj2vzjwDVdHHu6C8uRsnp,Done
7,9nsgdXLN1Hyog4FhiwBH89zETzXu98PukMFJftfi46wH,1.494747337,2JvAhdPCboMoFCJjYuiGudMyMpozTWdWF1s4pKwiMSrsMtF8k3SrBq8WTjHUJgPGmDpJcKVRiima5qVWXZPLtAg8,Done
8,ECaPx65TXXwFHUZdfmKU1wVGU6YptNwuT2j3uuF8MxtR,1.440087897,4Yvsn4R9vivX4QjETNsYFrSdgMxQd9o3doEau3TZQZu1mndJ75Fz4F6r2jR4DRrxkWNBX9XRGmAnPtTmaAVtjgGb,Done
9,A8BwYZBnfvKGG3BZgRv7frxd18WQ5mJCKuTZGC7v5gAs,0.875739316,4EofrNqttEhLHgZ5iKZaWnpRLPgXNP6X3paiMqUoLjo7UQ6rTFCNisfbr6sw3BBW5VqpUwHBSV4YGkBQQeXc2muq,Done
10,UxDh5iCXxKKfdKeeXptm7PN7YmHb1r53H4fi9WzhFbT,0.602897892,5XdkAiYsoFKAkFUrEPgLWLFEnK3o1eFQNd544ZzVQnFeuJ4SzauDgYt2ocEUHJbKk3MrUarAYC6GhUZtaEVHxe9n,Done
11,WXquQPTcEjjysE99cHQL5zpwxJNxgdrj9gYdsWZAmPw,0.430751591,HJXvzmiFqUsjYKy7evYBj3HYXNhtENXeWgB8hmgAFCcfzqhYxiyAvxnWWh76cw6XREVLNsR3uXebrT2uSMd9yNX,Done
12,2vXFARFP5MXn65rDrUMmzhHGcLzUkAqjFSbTyBAFMpGi,0.427794964,4sPogFH36qeT3UyANBKNjgkWBThm65WvRMU3k8iEg2E4exjK1P9yo6MyYk1F691opZ1ZpFtffjPEGYbx6tWErBSX,Done
13,57Wb9oirTZ6frDky2Tmy7DA5UUa724MsmudrUriCSsiH,0.376895097,2u2enWsUp3A1AgzFfGk74z6PjkRRg4g4aWzBtxt8rfk5ertv1jGBA8bahthe7dSG66UCP9V2Sp1eU2Er5eZPjMqc,Done
14,Dvv9zZrMnJLvKFNb7NtqSwRVsweQQL2RFTA3cbgavPkG,0.344885455,2iRrsb3u7yyxKDcz1qRtUzJPWJLh45qR3JatP2GthATgfu7V5ukdrg49dcZJhneHAv293btk9kHf54SETNxKj613,Done
15,6B7JWaumobHVrMkhfEsXgdQMQjDna5Yo5SE1S5Dn9tv2,0.332936522,21VnfmKJVwaJW73KHMA59EV1YygF9EikaJFz3gnxtBCZc3oQxzv4QiKtSTqr71aZdCESkqEksiV92hjvHmvoDqBk,Done
16,4q6Nk3evBpHFucCCSDdjTjRtZHDemD7oh4Ho5fhSfAGn,0.216664102,5GubaWiE8f2povNgg9xr4RGJTWAJLotSFsoazVJx41znsNW1LPhhC2EbRtTfZXHTyxs2n9oVuLvG2KPMwbfDamjj,Done
17,2J9pc4rduwKZh9sJPVLzL6cGNsqhb7PdLfHMNWZLVr7M,0.193853644,3JywZto2bCpmvri4kxEPFDB454Kz3qH8yfp2oxUG6AC6ApToA72cnqyyyqxcVcsBuhNpgdErrXeLaMLL61BniuWp,Done
18,9CPqeqJp27ae1BioxmExZxU7DW19kB7s5cbDP4W2F66D,0.19327325,3JTTZrJXouMvJUNEuV8ot5afdosiqkcszFUMzi49wocYXUsNgcLpag9UdTy9wdYbWKtsiWV3GaCvapJnjHGxf5pR,Done
19,3R8ApBzJWU4fV5pJyFgZvd8RSvwHYHMMqGq6KmrWCEqP,0.179575951,2o2rWzWMEfEFrs6GLiiwPSLSvCQZf4XNnadBoaTk3553S9fQmWEzW5JgJWy3uvP4hWNrEdFTyzwyJ3U9hZ79Thh4,Done
20,3B1tAYo9ScKWYjdDGutuEzd1REDHy79Q8Z4NWKVV5RfV,0.172285584,DK7GuYTcDduGDUvF4KgJ2Lp43jq8KmPimtm2HiqL3AtMVTqQQWHXqhHBRWsiYQpVDHMM8areZQQQnHHEP3G27bb,Done
21,HBvEyWbDYLEdQckT5YxzFRHqPs2Ze4YsDjbW6dReZ69m,0.168715934,vQZuHNxqFRWchsGkHYGYZPrx2dRCNcWuhyz6SwG1JBba9g451fouLmAKwXrSnm22Bhs5C1ewqdE3v1zD38iLJhk,Done
22,FkjwuEZu9Fr3YfB55aGLwmhYRxrAdjZa355yhWzXU9JG,0.115402637,4E3K2C6ZwMVZADSX376HkbAHApxELxQMxbEZ3JJU7ynjQcL6aTQXhunWwQC6yvgjeg4xVY4473DMH3ewfswkAt7b,Done
23,7cQhv7pCgzmz1Kaz5dCas64nB3FiEAFjaej4HqGeuHnB,0.107652531,2NVTGJo2g7sVT5FNc45QjmYqTkYGwZhJJJNH2Cn9t6yPq5JNHdK9YKtxNWam91fWkb1zKmKxk8fFqaTuf1FPMnx4,Done
24,dc3cGgzv7mze8bxjMua1kdnELUY8KVAFem3PrPHAX5C,0.087946756,4n8y9FZDWmhSYjGXnwdsCQLAjDH7dL8pooyXB2JGzX4qHfQrCdcyQM6PojaPyVWVc1CN7SFDNCLxvqzxJRqtgbVf,Done
25,8uQoaSEZMbbZXzvmHasU9E3n4nUpYiBkKFxPYzqRMhYK,0.086192036,2viizhrx8YWxM51oCfcGxbUtVNSMQtusLUCDKbckSBoQpUbpt3X7qfUd1K8kuJd2cVEqkdsz4vH1tbzT6ZjPVBvc,Done
26,Grsme69vd1zf72mhV3vm1QDsUtxxM4AyTCZCzfkzqWJm,0.086169181,4xmgJjVGu9D1JK72FDXVbiYgWH1WH2GkWiyciy3xnq8rP6eovZLLw95Q31RhNwHBmJ7Gf8WtJbzqya7RK4hTLXsi,Done
27,7MuddGTqPRss6zB61qGcvueC6nwJkKWEqMuNEhDLbE8d,0.085678964,2QojWMGtNU1eT2NEgZBoKkQHmeT2BnoWEqQiWh76eWhBszBW4APsMfjTzrK1SCrKU6YREYegjHmQ4zDeVohbVTiJ,Done
28,6mVRSQzyZkotjXoXCJ4GHXPsfWpeqgzpK8avFWZoZ1o9,0.080273732,3YGy8NqdNChBa35DsseWuEG2CVbbExPgEF4KKaw2t5zX7zodpDBE7c9haCgiRFkK4qpJWYDnUhxFCXybt4rDEf1C,Done
29,2hZT47jh3nPzVZVdUv3pyYNpLwdywRTvqv2mVmbqZJXz,0.066566876,tvGwP1vroCUPP2eXKCVeEDF3zYK1cT8e9JPz3fA3Ta8X4ZXPL7cbRmAnMuSNFdgoAZBqNVGp6uaZAwpnRnTVGFe,Done
30,E2QDeUhSD4FohhRAXSsDGq6Zp1sejNGNWhCHpPorZww6,0.061369304,4ZG9M1xAPqiat9JpBpadkttLw2PHzhx6RFmvbKAsKBB7Yta6bixDi7wd87QuDAR3cS6pVJAmYR4wfwa3h7Aeke46,Done
31,FhVo3mqL8PW5pH5U2CN4XE33DokiyZnUwuGpH2hmHLuM,0.05911387,4R94yHYr3jktEoQ7NLcyAwUa3KBSu7CW5HgcoSP36FBMJSZ3AHVTRBP1Su6LEf84bBKsN7fAyr1qQ66NuPMnc1pQ,Done
32,QGTPcdcSBHFcpB1ytsbK37TfrZ1Fm4Gv55bRZZpj5W7,0.050193631,55BoqC8p8Jmh254YFtWkMpaPAskZq5NFZEicamW4bs1kUDwEsRmxd8jVVWBRpxWMGMdpcnz432DWyX2vVDSiLjgX,Done
33,HFqp6ErWHY6Uzhj8rFyjYuDya2mXUpYEk8VW75K9PSiY,0.032254513,5sK4LcbgdDZTmGApPsbo73fuBL7Z73fne8tga7zPvNQtJakdRZePfFW7DzcMQ2sQvmMqmjePNdHSTZnFZMXAHBDV,Done
34,F9snByw4nsCWZ1AdH6VqLYXwXYRkGqBqLfK87wAneCs3,0.031391117,3HDsdP6Gw8mqsV5Fojko5v8o1Fc7veudHe1sC8grb9XNRQinzZPHJKqwocN5yGQGGrunMk4A79oH2bnsrXFDDzWK,Done
35,8psNvWTrdNTiVRNzAgsou9kETXNJm2SXZyaKuJraVRtf,0.030124303,3Arc8bmP5T1TdvVXect1J7jLZVE3So2R9eEByd3ccKmf6gg7SSRMKkSosvEmpGvkw1g2GDaZrhjnztBFqqmcYov7,Done
36,AGp14Cs2HiXiuNSw2QjFk1ZPW2idJpsZPcTnWFQ7sqnk,0.029332515,5FVvbTiQW2hY391vGdbRjbc4dpvYVLPUpZ92tzw6Pzq5a28zuK15DtqdvUyFZUfU8qhJUfbaTNjn5vCPjcWJi4Kk,Done
